Method,LoggingLevel,Log
"<org.apache.hadoop.hdfs.util.MD5FileUtils: void renameMD5File(java.io.File,java.io.File)>",warn,deleting   <*>  FAILED 
"<org.apache.hadoop.hdfs.util.LightWeightHashSet: void <init>(int,float,float)>",debug,"initial capacity= <*> , max load factor=  maxLoadFactor , min load factor=  minLoadFactor "
<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void close()>,warn,Unable to delete tmp file  <*> 
<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void abort()>,warn,Unable to abort file  <*> 
<org.apache.hadoop.hdfs.util.AtomicFileOutputStream: void abort()>,warn,Unable to delete tmp file during abort  <*> 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.WebImageViewer: void initServerAndWait(java.lang.String)>,info,Interrupted. Stopping the WebImageViewer.
<org.apache.hadoop.hdfs.tools.offlineImageViewer.WebImageViewer: void initServer(java.lang.String)>,info,WebImageViewer started. Listening on  <*> . Press Ctrl+C to stop the viewer. 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.OfflineImageViewer: void go()>,error,image loading failed at offset  <*> 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader load(java.lang.String)>,debug,Loading section  <*>  length:  <*> 
"<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.util.Map loadINodeDirectorySection(java.io.InputStream,java.util.List)>",info,Loading inode directory section
"<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.util.Map loadINodeDirectorySection(java.io.InputStream,java.util.List)>",info,Loaded  counter  directories 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: java.lang.String[] loadStringTable(java.io.InputStream)>,info,Loading  <*>  strings 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: com.google.common.collect.ImmutableList loadINodeReferenceSection(java.io.InputStream)>,info,Loading inode references
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: com.google.common.collect.ImmutableList loadINodeReferenceSection(java.io.InputStream)>,info,Loaded  counter  inode references 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>,debug,Sorting inodes
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>,debug,Finished sorting inodes
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageLoader: byte[][] loadINodeSection(java.io.InputStream)>,info,Loading  <*>  inodes. 
<org.apache.hadoop.hdfs.tools.offlineImageViewer.FSImageHandler: org.jboss.netty.channel.ChannelFuture handleOperation(org.jboss.netty.channel.MessageEvent)>,info,<*>  method= <*>  op= <*>  target= path 
<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>,error,Got IOException at position  <*> 
<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>,error,Got IOException while reading stream!  Resyncing.
<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>,error,Got RuntimeException at position  <*> 
<org.apache.hadoop.hdfs.tools.offlineEditsViewer.OfflineEditsBinaryLoader: void loadEdits()>,error,Got RuntimeException while reading stream!  Resyncing.
<org.apache.hadoop.hdfs.tools.GetGroups: void setConf(org.apache.hadoop.conf.Configuration)>,debug,Using NN principal:  <*> 
<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void main(java.lang.String[])>,fatal,"Got a fatal error, exiting now"
<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void checkRpcAdminAccess()>,info,Allowed RPC access from  <*>  at  <*> 
<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void checkRpcAdminAccess()>,warn,Disallowed RPC access from  <*>  at  <*> . Not listed in  dfs.cluster.administrators 
"<org.apache.hadoop.hdfs.tools.DFSZKFailoverController: void <init>(org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.tools.NNHAServiceTarget)>",info,Failover controller configured for NameNode  localTarget 
<org.apache.hadoop.hdfs.tools.DFSHAAdmin: org.apache.hadoop.conf.Configuration addSecurityConfiguration(org.apache.hadoop.conf.Configuration)>,debug,Using NN principal:  <*> 
<org.apache.hadoop.hdfs.tools.DFSAdmin: int run(java.lang.String[])>,debug,Exception encountered:
"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: org.apache.hadoop.security.Credentials getDTfromRemote(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,java.lang.String,java.lang.String)>",debug,Retrieving token from:  <*> 
"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: long renewDelegationToken(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,org.apache.hadoop.security.token.Token)>",info,error in renew over HTTP
"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: long renewDelegationToken(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URI,org.apache.hadoop.security.token.Token)>",info,rethrowing exception from HTTP request:  <*> 
"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.net.HttpURLConnection run(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URL)>",info,Error when dealing remote token:
"<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.net.HttpURLConnection run(org.apache.hadoop.hdfs.web.URLConnectionFactory,java.net.URL)>",info,rethrowing exception from HTTP request:  <*> 
<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>,info,Error response from HTTP request= <*> ;ec= ie ;em= exceptionMsg 
<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>,info,Exception from HTTP response= <*> 
<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher: java.io.IOException getExceptionFromResponse(java.net.HttpURLConnection)>,warn,failed to create object of this class
<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher$1: java.lang.Object run()>,debug,Renewed token for  <*>  until:  <*> 
<org.apache.hadoop.hdfs.tools.DelegationTokenFetcher$1: java.lang.Object run()>,debug,Cancelled token for  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void unregisterSlot(int)>,trace,this : unregisterSlot  slotIdx 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void free()>,trace,this : freed 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void free()>,warn,this : failed to munmap 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: void <init>(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$ShmId,java.io.FileInputStream)>",trace,"creating  <*> (shmId= shmId , mmappedLength= <*> , baseAddress= <*> , slots.length= <*> ) "
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: sun.misc.Unsafe safetyDance()>,error,failed to load misc.Unsafe
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot registerSlot(int,org.apache.hadoop.hdfs.ExtendedBlockId)>",trace,this : registerSlot  slotIdx : allocatedSlots= <*> <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocAndRegisterSlot(org.apache.hadoop.hdfs.ExtendedBlockId)>,trace,this : allocAndRegisterSlot  <*> : allocatedSlots= <*> <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: void close()>,trace,closed  this suffix 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>,trace,this : created mmap of size  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>,warn,this : mmap error 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: java.nio.MappedByteBuffer loadMmapInternal()>,warn,this : mmap error 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>,trace,this : checked shared memory segment.  isStale= <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>,trace,"this  is stale because it\'s  stale#  ms old, and staleThresholdMs =  <*> "
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean isStale()>,trace,"this  is not stale because it\'s only  stale#  ms old, and staleThresholdMs =  <*> "
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean addNoChecksumAnchor()>,trace,this : added no-checksum anchor to slot  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica: boolean addNoChecksumAnchor()>,trace,this : could not add no-checksum anchor to slot  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void unref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>,debug,this :  purgeReason#_ 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void unref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>,trace,this : unref replica  replica :  purgeReason  refCount  <*>  ->  <*> <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void trimEvictionMaps()>,trace,this : trimEvictionMaps is purging  replica <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void startCacheCleanerThreadIfNeeded()>,debug,this : starting cache cleaner thread which will run  every  <*>  ms 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void ref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>,trace,this :  <*>  no longer contains  replica .  refCount  <*>  ->  <*> <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void ref(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplica)>,trace,this : replica  refCount  <*>  ->  <*> <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void close()>,info,this : closing 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: void <init>(int,long,int,long,long,long,int)>",error,failed to create ShortCircuitShmManager
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetchOrCreate(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator)>",debug,this : retrying  <*> 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetchOrCreate(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator)>",trace,this : can\'t fetchOrCreate  key  because the cache is closed. 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>",info,this : interrupted while waiting for  key 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>",info,this : got stale replica  <*> .  Removing  this replica from the replicaInfoMap and retrying. 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>",trace,this : found waitable for  key 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>",warn,this : could not get  key  due to InvalidToken  exception. 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo fetch(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.util.Waitable)>",warn,this : failed to get  key 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>",trace,this : loading  key 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>",trace,this : successfully loaded  <*> 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>",warn,this : failed to load  key 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>",warn,this : could not load  key  due to InvalidToken  exception. 
"<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitReplicaInfo create(org.apache.hadoop.hdfs.ExtendedBlockId,org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$ShortCircuitReplicaCreator,org.apache.hadoop.util.Waitable)>",warn,this : failed to load  key 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache: int demoteOldEvictableMmaped(long)>,trace,demoteOldEvictable: demoting  <*> :  <*> :  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>,error,<*> : failed to release  short-circuit shared memory slot  <*>  by sending  ReleaseShortCircuitAccessRequestProto to  <*> .  Closing shared memory segment. 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>,trace,<*> : about to release  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$SlotReleaser: void run()>,trace,<*> : released  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>,debug,this : cache cleaner running at  <*> 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>,debug,this : finishing cache cleaner run started at  <*> .  Demoted  <*>  mmapped replicas;  purged  numPurged  replicas. 
<org.apache.hadoop.hdfs.shortcircuit.ShortCircuitCache$CacheCleaner: void run()>,trace,CacheCleaner: purging  replica :  <*> 
<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>,debug,Both short-circuit local reads and UNIX domain socket are disabled.
<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>,debug,feature  is enabled. 
<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: void <init>(org.apache.hadoop.hdfs.DFSClient$Conf)>,warn,feature#_  cannot be used because  <*> 
"<org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory: org.apache.hadoop.net.unix.DomainSocket createSocket(org.apache.hadoop.hdfs.shortcircuit.DomainSocketFactory$PathInfo,int)>",warn,error creating DomainSocket
<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void shutdown(org.apache.hadoop.hdfs.shortcircuit.DfsClientShm)>,warn,this : error shutting down shm: got IOException calling  shutdown(SHUT_RDWR) 
<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void freeSlot(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot)>,trace,this : freeing empty stale  shm 
<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: void freeSlot(org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot)>,trace,this : shutting down UNIX domain socket for  empty  shm 
<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlotFromExistingShm(org.apache.hadoop.hdfs.ExtendedBlockId)>,trace,this : pulled the last slot  <*>  out of  shm 
<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlotFromExistingShm(org.apache.hadoop.hdfs.ExtendedBlockId)>,trace,this : pulled slot  <*>  out of  shm 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>",debug,this : the UNIX domain socket associated with  this short-circuit memory closed before we could make  use of the shm. 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>",trace,this : the DfsClientShmManager has been closed. 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>",trace,this : shared memory segment access is disabled. 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.ShortCircuitShm$Slot allocSlot(org.apache.hadoop.hdfs.net.DomainPeer,org.apache.commons.lang.mutable.MutableBoolean,java.lang.String,org.apache.hadoop.hdfs.ExtendedBlockId)>",trace,this : waiting for loading to finish... 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>",info,this : datanode does not support short-circuit  shared memory access:  <*> 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>",trace,this : createNewShm: created  <*> 
"<org.apache.hadoop.hdfs.shortcircuit.DfsClientShmManager$EndpointShmManager: org.apache.hadoop.hdfs.shortcircuit.DfsClientShm requestNewShm(java.lang.String,org.apache.hadoop.hdfs.net.DomainPeer)>",warn,this : error requesting short-circuit shared memory  access:  <*> 
"<org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods: void init(org.apache.hadoop.security.UserGroupInformation,org.apache.hadoop.hdfs.web.resources.DelegationParam,org.apache.hadoop.hdfs.web.resources.UserParam,org.apache.hadoop.hdfs.web.resources.DoAsParam,org.apache.hadoop.hdfs.web.resources.UriFsPathParam,org.apache.hadoop.hdfs.web.resources.HttpOpParam,org.apache.hadoop.hdfs.web.resources.Param[])>",trace,"HTTP  <*> :  op ,  path , ugi= ugi ,  username ,  doAsUser <*> "
"<org.apache.hadoop.hdfs.server.namenode.web.resources.NamenodeWebHdfsMethods: java.net.URI redirectURI(org.apache.hadoop.hdfs.server.namenode.NameNode,org.apache.hadoop.security.UserGroupInformation,org.apache.hadoop.hdfs.web.resources.DelegationParam,org.apache.hadoop.hdfs.web.resources.UserParam,org.apache.hadoop.hdfs.web.resources.DoAsParam,java.lang.String,org.apache.hadoop.hdfs.web.resources.HttpOpParam$Op,long,long,java.lang.String,org.apache.hadoop.hdfs.web.resources.Param[])>",trace,redirectURI= <*> 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void uploadImageFromStorage(java.net.URL,org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.server.namenode.NNStorage,org.apache.hadoop.hdfs.server.namenode.NNStorage$NameNodeFile,long,org.apache.hadoop.hdfs.util.Canceler)>",info,Image upload with txid  txid  conflicted with a previous image upload to the  same NameNode. Continuing... 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void uploadImageFromStorage(java.net.URL,org.apache.hadoop.conf.Configuration,org.apache.hadoop.hdfs.server.namenode.NNStorage,org.apache.hadoop.hdfs.server.namenode.NNStorage$NameNodeFile,long,org.apache.hadoop.hdfs.util.Canceler)>",info,Uploaded image with txid  txid  to namenode at  fsName  in  <*>  seconds 
<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void setTimeout(java.net.HttpURLConnection)>,info,Image Transfer timeout configured to  <*>  milliseconds 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>",debug,Dest file:  f 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>",debug,Renaming  <*>  to  <*> 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>",info,Skipping download of remote edit log  log  since it already is stored locally at  f 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>",info,Downloaded file  <*>  size  <*>  bytes. 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void downloadEditsToStorage(java.net.URL,org.apache.hadoop.hdfs.server.protocol.RemoteEditLog,org.apache.hadoop.hdfs.server.namenode.NNStorage)>",warn,Unable to rename edits file from  <*>  to  <*> 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void copyFileToStream(java.io.OutputStream,java.io.File,java.io.FileInputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.util.Canceler)>",info,Connection closed by client
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: void copyFileToStream(java.io.OutputStream,java.io.File,java.io.FileInputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler,org.apache.hadoop.hdfs.util.Canceler)>",warn,SIMULATING A CORRUPT BYTE IN IMAGE TRANSFER!
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash receiveFile(java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean,long,org.apache.hadoop.io.MD5Hash,java.lang.String,java.io.InputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",warn,Overwriting existing file  f  with file downloaded from  url 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash receiveFile(java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean,long,org.apache.hadoop.io.MD5Hash,java.lang.String,java.io.InputStream,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",warn,Unable to download file  f 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash handleUploadImageRequest(javax.servlet.http.HttpServletRequest,long,org.apache.hadoop.hdfs.server.common.Storage,java.io.InputStream,long,org.apache.hadoop.hdfs.util.DataTransferThrottler)>",info,Downloaded file  <*>  size  <*>  bytes. 
"<org.apache.hadoop.hdfs.server.namenode.TransferFsImage: org.apache.hadoop.io.MD5Hash getFileClient(java.net.URL,java.lang.String,java.util.List,org.apache.hadoop.hdfs.server.common.Storage,boolean)>",info,Opening connection to  <*> 
